axis,example,key,metric,value
codegen,chain,-O2,symbols_pipe,195
codegen,chain,-O2,symbols_backtick,195
codegen,chain,-O2,symbol_set_diff_lines,0
codegen,chain,-O2,symbol_set_diff_lines_renumbered,0
codegen,chain,-O2,asm_diff_lines,0
codegen,chain,-O2,asm_diff_lines_renumbered,0
codegen,chain,-O3,identical_object,1
codegen,chain,-O3,text_pipe,86350
codegen,chain,-O3,text_backtick,86350
codegen,chain,-O3,symbols_pipe,196
codegen,chain,-O3,symbols_backtick,196
codegen,chain,-O3,symbol_set_diff_lines,0
codegen,chain,-O3,symbol_set_diff_lines_renumbered,0
codegen,chain,-O3,asm_diff_lines,0
codegen,chain,-O3,asm_diff_lines_renumbered,0
codegen,hop,-O0,identical_object,0
codegen,hop,-O0,text_pipe,241919
codegen,hop,-O0,text_backtick,240159
codegen,hop,-O0,symbols_pipe,2073
codegen,hop,-O0,symbols_backtick,2053
codegen,hop,-O0,symbol_set_diff_lines,364
codegen,hop,-O0,symbol_set_diff_lines_renumbered,364
codegen,hop,-O0,asm_diff_lines,28992
codegen,hop,-O0,asm_diff_lines_renumbered,28992
codegen,hop,-O2,identical_object,1
codegen,hop,-O2,text_pipe,89939
codegen,hop,-O2,text_backtick,89939
codegen,hop,-O2,symbols_pipe,234
codegen,hop,-O2,symbols_backtick,234
codegen,hop,-O2,symbol_set_diff_lines,0
codegen,hop,-O2,symbol_set_diff_lines_renumbered,0
codegen,hop,-O2,asm_diff_lines,0
codegen,hop,-O2,asm_diff_lines_renumbered,0
codegen,hop,-O3,identical_object,1
codegen,hop,-O3,text_pipe,92252
codegen,hop,-O3,text_backtick,92252
codegen,hop,-O3,symbols_pipe,231
codegen,hop,-O3,symbols_backtick,231
codegen,hop,-O3,symbol_set_diff_lines,0
codegen,hop,-O3,symbol_set_diff_lines_renumbered,0
codegen,hop,-O3,asm_diff_lines,0
codegen,hop,-O3,asm_diff_lines_renumbered,0
codegen,scan,-O0,identical_object,0
codegen,scan,-O0,text_pipe,232134
codegen,scan,-O0,text_backtick,230765
codegen,scan,-O0,symbols_pipe,1859
codegen,scan,-O0,symbols_backtick,1841
codegen,scan,-O0,symbol_set_diff_lines,274
codegen,scan,-O0,symbol_set_diff_lines_renumbered,274
codegen,scan,-O0,asm_diff_lines,24141
codegen,scan,-O0,asm_diff_lines_renumbered,24141
codegen,scan,-O2,identical_object,1
codegen,scan,-O2,text_pipe,83352
codegen,scan,-O2,text_backtick,83352
codegen,scan,-O2,symbols_pipe,217
codegen,scan,-O2,symbols_backtick,217
codegen,scan,-O2,symbol_set_diff_lines,0
codegen,scan,-O2,symbol_set_diff_lines_renumbered,0
codegen,scan,-O2,asm_diff_lines,0
codegen,scan,-O2,asm_diff_lines_renumbered,0
codegen,scan,-O3,identical_object,1
codegen,scan,-O3,text_pipe,85406
codegen,scan,-O3,text_backtick,85406
codegen,scan,-O3,symbols_pipe,214
codegen,scan,-O3,symbols_backtick,214
codegen,scan,-O3,symbol_set_diff_lines,0
codegen,scan,-O3,symbol_set_diff_lines_renumbered,0
codegen,scan,-O3,asm_diff_lines,0
codegen,scan,-O3,asm_diff_lines_renumbered,0
compile,eval,-O2,cpu_s_pipe,3.12
compile,eval,-O2,cpu_s_backtick,3.24
compile,eval,-O2,cpu_s_control,2.65
compile,eval,-O2,control_spread_s,0.47
compile,eval,-O2,clears_noise,no
compile,eval,-O2,max_rss_kb_pipe,217560
compile,eval,-O2,max_rss_kb_backtick,231216
compile,eval,-O2,headers_only_cpu_s_pipe,1.29
compile,eval,-O2,headers_only_cpu_s_backtick,1.44
compile,eval,-O2,frontend_ms_pipe,1656
compile,eval,-O2,frontend_ms_backtick,2198
compile,eval,-O2,instantiate_ms_pipe,768
compile,eval,-O2,instantiate_ms_backtick,896
compile,eval,-O2,constraints_ms_pipe,692
compile,eval,-O2,constraints_ms_backtick,831
compile,eval,-O2,backend_ms_pipe,1369
compile,eval,-O2,backend_ms_backtick,1446
compile,eval,-O2,total_ms_pipe,3032
compile,eval,-O2,total_ms_backtick,3657
compile,calendar,-O2,cpu_s_pipe,14.51
compile,calendar,-O2,cpu_s_backtick,10.93
compile,calendar,-O2,cpu_s_control,11.16
compile,calendar,-O2,control_spread_s,3.35
compile,calendar,-O2,clears_noise,no
compile,calendar,-O2,max_rss_kb_pipe,346244
compile,calendar,-O2,max_rss_kb_backtick,355324
compile,calendar,-O2,headers_only_cpu_s_pipe,2.80
compile,calendar,-O2,headers_only_cpu_s_backtick,2.92
compile,calendar,-O2,frontend_ms_pipe,5423
compile,calendar,-O2,frontend_ms_backtick,7389
compile,calendar,-O2,instantiate_ms_pipe,2797
compile,calendar,-O2,instantiate_ms_backtick,3518
compile,calendar,-O2,constraints_ms_pipe,2995
compile,calendar,-O2,constraints_ms_backtick,3820
compile,calendar,-O2,backend_ms_pipe,5994
compile,calendar,-O2,backend_ms_backtick,6386
compile,calendar,-O2,total_ms_pipe,11439
compile,calendar,-O2,total_ms_backtick,13796
compile,sieve,-O2,cpu_s_pipe,3.54
compile,sieve,-O2,cpu_s_backtick,4.00
compile,sieve,-O2,cpu_s_control,3.91
compile,sieve,-O2,control_spread_s,0.37
compile,sieve,-O2,clears_noise,no
compile,sieve,-O2,max_rss_kb_pipe,231052
compile,sieve,-O2,max_rss_kb_backtick,229860
compile,sieve,-O2,headers_only_cpu_s_pipe,1.62
compile,sieve,-O2,headers_only_cpu_s_backtick,1.57
compile,sieve,-O2,frontend_ms_pipe,2169
compile,sieve,-O2,frontend_ms_backtick,2036
compile,sieve,-O2,instantiate_ms_pipe,976
compile,sieve,-O2,instantiate_ms_backtick,916
compile,sieve,-O2,constraints_ms_pipe,998
compile,sieve,-O2,constraints_ms_backtick,939
compile,sieve,-O2,backend_ms_pipe,1626
compile,sieve,-O2,backend_ms_backtick,1543
compile,sieve,-O2,total_ms_pipe,3806
compile,sieve,-O2,total_ms_backtick,3589
compile,triples,-O2,cpu_s_pipe,3.53
compile,triples,-O2,cpu_s_backtick,3.63
compile,triples,-O2,cpu_s_control,3.50
compile,triples,-O2,control_spread_s,0.03
compile,triples,-O2,clears_noise,yes
compile,triples,-O2,max_rss_kb_pipe,253248
compile,triples,-O2,max_rss_kb_backtick,268040
compile,triples,-O2,headers_only_cpu_s_pipe,1.48
compile,triples,-O2,headers_only_cpu_s_backtick,1.65
compile,triples,-O2,frontend_ms_pipe,2230
compile,triples,-O2,frontend_ms_backtick,2383
compile,triples,-O2,instantiate_ms_pipe,996
compile,triples,-O2,instantiate_ms_backtick,1155
compile,triples,-O2,constraints_ms_pipe,1135
compile,triples,-O2,constraints_ms_backtick,1163
compile,triples,-O2,backend_ms_pipe,1466
compile,triples,-O2,backend_ms_backtick,1470
compile,triples,-O2,total_ms_pipe,3706
compile,triples,-O2,total_ms_backtick,3864
compile,chain,-O2,cpu_s_pipe,4.56
compile,chain,-O2,cpu_s_backtick,4.51
compile,chain,-O2,cpu_s_control,4.72
compile,chain,-O2,control_spread_s,0.16
compile,chain,-O2,clears_noise,no
compile,chain,-O2,max_rss_kb_pipe,277600
compile,chain,-O2,max_rss_kb_backtick,278660
compile,chain,-O2,headers_only_cpu_s_pipe,2.13
compile,chain,-O2,headers_only_cpu_s_backtick,2.10
compile,chain,-O2,frontend_ms_pipe,2929
compile,chain,-O2,frontend_ms_backtick,2916
compile,chain,-O2,instantiate_ms_pipe,1360
compile,chain,-O2,instantiate_ms_backtick,1363
compile,chain,-O2,constraints_ms_pipe,1135
compile,chain,-O2,constraints_ms_backtick,1121
compile,chain,-O2,backend_ms_pipe,1911
compile,chain,-O2,backend_ms_backtick,1937
compile,chain,-O2,total_ms_pipe,4856
compile,chain,-O2,total_ms_backtick,4869
compile,hop,-O2,cpu_s_pipe,4.93
compile,hop,-O2,cpu_s_backtick,4.92
compile,hop,-O2,cpu_s_control,4.94
compile,hop,-O2,control_spread_s,0.01
compile,hop,-O2,clears_noise,no
compile,hop,-O2,max_rss_kb_pipe,296660
compile,hop,-O2,max_rss_kb_backtick,294716
compile,hop,-O2,headers_only_cpu_s_pipe,2.14
compile,hop,-O2,headers_only_cpu_s_backtick,2.11
compile,hop,-O2,frontend_ms_pipe,3184
compile,hop,-O2,frontend_ms_backtick,3195
compile,hop,-O2,instantiate_ms_pipe,1574
compile,hop,-O2,instantiate_ms_backtick,1592
compile,hop,-O2,constraints_ms_pipe,1324
compile,hop,-O2,constraints_ms_backtick,1323
compile,hop,-O2,backend_ms_pipe,2132
compile,hop,-O2,backend_ms_backtick,2133
compile,hop,-O2,total_ms_pipe,5332
compile,hop,-O2,total_ms_backtick,5344
compile,scan,-O2,cpu_s_pipe,4.86
compile,scan,-O2,cpu_s_backtick,4.85
compile,scan,-O2,cpu_s_control,4.85
compile,scan,-O2,control_spread_s,0.01
compile,scan,-O2,clears_noise,no
compile,scan,-O2,max_rss_kb_pipe,295816
compile,scan,-O2,max_rss_kb_backtick,295164
compile,scan,-O2,headers_only_cpu_s_pipe,2.14
compile,scan,-O2,headers_only_cpu_s_backtick,2.17
compile,scan,-O2,frontend_ms_pipe,3235
compile,scan,-O2,frontend_ms_backtick,3260
compile,scan,-O2,instantiate_ms_pipe,1514
compile,scan,-O2,instantiate_ms_backtick,1539
compile,scan,-O2,constraints_ms_pipe,1337
compile,scan,-O2,constraints_ms_backtick,1353
compile,scan,-O2,backend_ms_pipe,1995
compile,scan,-O2,backend_ms_backtick,2002
compile,scan,-O2,total_ms_pipe,5246
compile,scan,-O2,total_ms_backtick,5277
consteval,eval,100,steps_pipe,5757
consteval,eval,100,steps_backtick,5714
consteval,eval,100,delta,-43
consteval,eval,200,steps_pipe,11239
consteval,eval,200,steps_backtick,11196
consteval,eval,200,delta,-43
consteval,eval,400,steps_pipe,21783
consteval,eval,400,steps_backtick,21740
consteval,eval,400,delta,-43
consteval,eval,800,steps_pipe,42745
consteval,eval,800,steps_backtick,42702
consteval,eval,800,delta,-43
